@relation FloodingsSP-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2-3

@attribute distance numeric
@attribute mm_1h numeric
@attribute mm_2h numeric
@attribute mm_3h numeric
@attribute mm_4h numeric
@attribute mm_6h numeric
@attribute mm_12h numeric
@attribute mm_24h numeric
@attribute mm_48h numeric
@attribute mm_72h numeric
@attribute mm_96h numeric
@attribute mm_120h numeric
@attribute class {0,1}

@data
1442.06423,4.965312,3.113359,2.215313,1.811875,1.325104,0.770417,2.546667,1.515417,1.010278,0.250778,0.249986,0
1442.06423,0,0.1,0.853333,3,5.508333,5.5575,3.50125,1.845,1.23,0.992188,0.79375,1
1442.06423,?,0.1,0.066667,1.811875,1.325104,5.076667,2.546667,1.515417,1.010278,0.250778,0.249986,0
1442.06423,0,0,0.853333,1.77,5.411667,5.4925,3.50125,1.845,1.23,0.992188,0.79375,1
1442.06423,?,?,0.066667,0.05,1.325104,5.076667,2.546667,1.515417,1.010278,0.250778,0.249986,0
1442.06423,0.2,0.1,0.066667,0.69,3.148333,4.9175,3.509583,1.849167,1.232778,0.994271,0.795417,1
1442.06423,0.2,0.1,0.066667,0.05,1.325104,0.770417,2.546667,1.515417,1.010278,0.250778,0.249986,0
1442.06423,0.2,1.18,0.786667,0.59,0.426667,0.721667,2.894167,1.902708,1.268472,1.021042,0.816833,1
1442.06423,0.2,0.1,0.066667,0.05,0.033333,0.016667,2.546667,1.515417,1.010278,0.250778,0.249986,0
1442.06423,26.62,13.41,9.336667,7.0025,4.668333,2.334167,1.167083,0.583542,0.389028,0.291771,0.233417,1
1442.06423,4.965312,3.113359,2.215313,1.811875,1.325104,0.770417,0.4136,0.261859,0.253991,0.250778,0.003333,0
1442.06423,0,0,0,0,0,0,0,0,0,0.041146,0.032917,1
1442.06423,?,?,?,?,?,?,?,?,?,0.004063,0.003333,0
1442.06423,0,0,0,0,0,0,0.229583,0.135417,0.090278,0.067708,0.054167,1
1442.06423,?,?,?,?,?,?,0.008333,0.004167,0.005417,0.004063,0.003333,0
1442.06423,0,0,0,0,0,0,0,0,0,0.020833,0.016667,1
1442.06423,?,?,?,?,?,?,?,?,?,0.004063,0.003333,0
1442.06423,0,0,0,0,0,0.016667,0.016667,0.299792,0.199861,0.188854,0.151083,1
1442.06423,?,?,?,?,?,0.016667,0.008333,0.261859,0.005417,0.004063,0.003333,0
1442.06423,16.92,14.52,9.68,7.26,4.84,2.42,1.21,0.605,0.501667,0.384583,0.497167,1
1442.06423,4.965312,3.113359,2.215313,1.811875,1.325104,0.770417,0.4136,0.261859,0.253991,0.250778,0.249986,0
1442.06423,0.79,0.395,0.263333,0.1975,0.131667,0.065833,0.032917,0.016458,0.0875,0.075833,0.060667,1
1442.06423,0.2,0.1,0.066667,0.05,0.033333,0.016667,0.008333,0.004167,0.005417,0.004063,0.003333,0
1442.06423,28.84,14.42,9.613333,7.21,4.806667,2.403333,1.359167,0.966875,1.229722,0.922292,0.737833,1
1442.06423,4.965312,3.113359,2.215313,1.811875,1.325104,0.770417,0.4136,0.261859,1.010278,0.250778,0.249986,0
1442.06423,0,0,0.066667,0.2475,10.213333,5.106667,2.553333,1.676042,1.699028,1.348437,1.485417,1
1442.06423,?,?,0.066667,0.05,10.153333,5.076667,2.546667,1.515417,1.010278,1.085833,1.071917,0
1442.06423,0.79,15.705,20.36,15.27,10.18,5.09,2.545,1.72125,1.69625,1.729167,1.48375,1
