@relation FloodingsSP-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2-3

@attribute distance numeric
@attribute mm_1h numeric
@attribute mm_2h numeric
@attribute mm_3h numeric
@attribute mm_4h numeric
@attribute mm_6h numeric
@attribute mm_12h numeric
@attribute mm_24h numeric
@attribute mm_48h numeric
@attribute mm_72h numeric
@attribute mm_96h numeric
@attribute mm_120h numeric
@attribute class {0,1}

@data
293.966868,2.082712,1.596695,6.163333,4.6225,3.213333,0.69404,0.43411,0.281208,0.231076,0.244223,0.213839,0
296.117955,0,0,0,0,0,0,0,0,0.117639,0.106771,0.085417,1
296.117955,?,?,?,?,?,?,?,?,0.002778,0.004167,0.003333,0
297.957055,1.78,1.585,1.256667,1.24,0.826667,0.413333,0.215,0.215833,0.155,0.159688,0.278833,1
299.331896,0,0,0,0.345,2.591667,4.108333,2.972083,1.486042,0.990694,0.753333,0.706833,1
299.331896,?,?,?,0.05,1.12179,3.509167,1.944167,0.972083,0.65625,0.640625,0.5125,0
304.850461,33.24,16.62,11.08,8.31,5.54,2.77,1.401667,0.700833,0.566111,0.424583,0.376,1
304.850461,3.93,3.535,3.206667,2.85,2.59,1.611667,0.381707,0.242345,0.212496,0.193609,0.174468,0
304.850461,0,0,0,0,0.033333,0.05,0.041667,0.020833,0.013889,0.010417,0.008333,1
304.850461,?,?,?,?,0.033333,0.016667,0.008333,0.004167,0.002778,0.002083,0.008333,0
304.850461,27.43,13.715,9.143333,6.8575,4.571667,2.285833,1.142917,1.895,1.263333,1.009062,0.833667,1
304.850461,3.93,3.535,3.206667,2.85,2.59,1.611667,0.381707,1.060208,0.745417,0.606979,0.730167,0
304.850461,19.2,18.085,12.056667,9.0425,6.028333,3.014167,2.59,1.295,0.945278,0.741979,0.686917,1
304.850461,3.93,3.535,3.206667,2.85,2.59,1.611667,1.710417,1.060208,0.745417,0.606979,0.174468,0
319.903149,3.54,7.485,4.99,3.7425,2.495,1.2475,0.62375,0.320208,0.246389,0.184792,0.147833,1
319.903149,0.2,2.610882,2.040196,1.735809,1.319559,0.805784,0.457831,0.287402,0.23085,0.004167,0.003333,0
330.608449,20.42,13.96,9.306667,6.98,4.653333,2.326667,2.122917,1.061458,0.748889,0.582292,0.5675,1
330.608449,16.52,9.345,6.816667,6.585,0.998619,0.580762,1.69625,1.042083,0.694722,0.563646,0.149105,0
345.57429,0.79,5.505,7.143333,6.4525,4.301667,2.365,1.8675,1.003542,0.669028,0.501771,0.414583,1
345.57429,0.2,2.603065,1.974946,1.617823,1.257581,0.706962,0.394274,0.955208,0.642361,0.185185,0.17278,0
356.583274,0.98,0.49,1.376667,1.0325,0.688333,0.344167,0.180417,0.098542,0.104167,0.107187,0.092417,1
356.583274,0.2,0.1,0.066667,0.05,0.033333,0.016667,0.008333,0.004167,0.002778,0.004167,0.003333,0
356.644846,21.84,21.89,20.756667,15.5675,10.378333,5.189167,2.6275,1.375208,0.925,0.69375,0.555,1
356.644846,14.95,8.36,5.573333,7.2775,5.533333,2.766667,1.383333,0.747083,0.705417,0.245052,0.227424,0
360.256302,11.11,10.84,7.226667,5.42,3.613333,1.954167,0.977083,0.488542,0.325694,0.244271,0.195417,1
360.256302,4.225833,10.84,2.222083,1.823021,1.462222,0.831875,0.487899,0.271189,0.230596,0.20464,0.180632,0
365.410426,0,0.985,3.083333,10.725,7.51,3.755,1.8775,1.192917,0.839028,0.742188,0.59875,1
365.410426,?,0.1,2.556354,10.02,6.68,3.415,0.557122,0.327858,0.797083,0.641146,0.54025,0
386.011793,27.93,13.965,9.31,6.9825,4.655,2.3275,1.180417,0.590208,0.492222,0.369167,0.33175,1
386.011793,3.93,3.535,3.206667,2.85,2.59,1.611667,0.381707,0.242345,0.212496,0.193609,0.174468,0
389.892672,4.32,2.16,1.44,1.08,0.72,0.36,0.205,0.1025,0.068333,0.05125,0.041,1
389.892672,1.398571,0.863571,0.69,0.610357,0.551667,0.016667,0.008333,0.008333,0.005556,0.004167,0.003333,0
394.993277,31.52,15.76,10.506667,7.88,5.253333,2.626667,3.923333,1.98625,1.324167,0.993125,0.7945,1
394.993277,14.38,7.59,5.26,4.195,2.996667,1.848333,1.1825,0.838125,0.603056,0.452292,0.394417,0
394.993277,18.7,16.66,15.98,11.985,7.99,3.995,2.005833,1.084792,0.772361,0.579271,0.463417,1
394.993277,14.38,7.59,5.26,4.195,2.996667,1.848333,1.1825,0.838125,0.603056,0.452292,0.394417,0
397.744656,0,0,0,0.15,0.133333,0.313333,0.198333,0.148333,0.523194,0.417083,0.333667,1
397.744656,?,?,?,0.05,0.033333,0.016667,0.008333,0.004167,0.200538,0.185185,0.17278,0
414.966354,0.2,0.2,0.133333,0.15,0.133333,0.1,0.125,0.070833,0.083333,0.232604,0.215583,1
414.966354,0.2,0.1,0.066667,0.05,0.033333,0.016667,0.008333,0.008333,0.005556,0.176974,0.150802,0
417.919625,17.52,8.76,7.546667,5.66,3.773333,1.886667,1.00125,0.980417,0.653611,0.498333,0.464333,1
417.919625,14.95,8.36,5.573333,1.387222,1.074074,0.598796,0.335255,0.747083,0.221914,0.245052,0.227424,0
417.919625,11.19,5.89,3.926667,2.945,1.963333,0.981667,0.490833,0.245417,0.163611,0.122708,0.129417,1
417.919625,3.605556,2.163611,1.581111,1.387222,1.074074,0.598796,0.335255,0.238432,0.002778,0.012292,0.009833,0
